rank,feature,feature_family,mean_abs_shap,plain_english_meaning
34,residual_non_oncokb_positive_role_max_vaf_high_or_moderate_impact,Non-OncoKB cancer-gene aggregate,0.039770121247882345,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
35,cancer_hotspot_unique_gene_log_count,Cancer hotspot summary,0.037796309499933387,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
36,vep_polyphen_fraction__benign,Predicted functional damage,0.035560601601534014,Composition of predicted protein-damaging versus tolerated variants.
37,vep_impact_count__low,VEP impact composition,0.03517718884739588,"Composition of VEP impact levels such as high, moderate, low, or modifier."
38,vep_polyphen_fraction__probably_damaging,Predicted functional damage,0.03502526621900836,Composition of predicted protein-damaging versus tolerated variants.
39,vep_sift_fraction__deleterious,Predicted functional damage,0.03501645919470082,Composition of predicted protein-damaging versus tolerated variants.
40,residual_non_oncokb_positive_role_vep_high_or_moderate_impact_log_count,Non-OncoKB cancer-gene aggregate,0.03483395415552866,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
41,vep_polyphen_fraction__possibly_damaging,Predicted functional damage,0.034422018495802606,Composition of predicted protein-damaging versus tolerated variants.
42,vep_sift_count__unknown,Predicted functional damage,0.034290605036777035,Composition of predicted protein-damaging versus tolerated variants.
43,cancer_hotspot_exact_variant_log_count,Cancer hotspot summary,0.0329879506948987,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
44,vep_consequence_fraction__intron_variant,VEP consequence composition,0.0325239752433879,Composition of mutation consequence types assigned by VEP.
45,vep_sift_fraction__tolerated,Predicted functional damage,0.03252010618273596,Composition of predicted protein-damaging versus tolerated variants.
46,vep_sift_fraction__deleterious_low_confidence,Predicted functional damage,0.031587014703896785,Composition of predicted protein-damaging versus tolerated variants.
47,vep_polyphen_count__unknown,Predicted functional damage,0.031225388176335515,Composition of predicted protein-damaging versus tolerated variants.
48,vep_canonical_count__yes,Transcript annotation composition,0.030312508838681425,Transcript-level annotation composition from VEP.
49,vep_consequence_fraction__splice_donor_variant,VEP consequence composition,0.02960813200057771,Composition of mutation consequence types assigned by VEP.
50,vep_biotype_count__protein_coding,Transcript annotation composition,0.029264924042640132,Transcript-level annotation composition from VEP.
51,vep_consequence_count__stop_gained,VEP consequence composition,0.028826715388047434,Composition of mutation consequence types assigned by VEP.
52,vep_biotype_fraction__other,Transcript annotation composition,0.02817727765077325,Transcript-level annotation composition from VEP.
53,vep_sift_fraction__unknown,Predicted functional damage,0.028058195980898745,Composition of predicted protein-damaging versus tolerated variants.
54,driver_evidence_max_vaf_high_or_moderate_impact__source_count_3,External driver-evidence tier,0.027609704164823598,Aggregate burden among genes supported by 3 external driver-evidence source(s).
55,vep_biotype_fraction__lncrna,Transcript annotation composition,0.027579698498354902,Transcript-level annotation composition from VEP.
56,vep_polyphen_count__probably_damaging,Predicted functional damage,0.02707660166073879,Composition of predicted protein-damaging versus tolerated variants.
57,residual_non_oncokb_positive_role_vep_high_impact_log_count,Non-OncoKB cancer-gene aggregate,0.026961247638630767,Aggregate burden in externally supported cancer genes not covered by the OncoKB role group.
58,driver_evidence_max_vaf_high_or_moderate_impact__source_count_1,External driver-evidence tier,0.025603899799037207,Aggregate burden among genes supported by 1 external driver-evidence source(s).
59,cancer_hotspot_residue_log_count,Cancer hotspot summary,0.025466493851158702,Burden or maximum VAF of mutations at known cancer hotspot residues or exact hotspot variants.
60,driver_evidence_max_vaf_high_or_moderate_impact__source_count_2,External driver-evidence tier,0.025078130315138652,Aggregate burden among genes supported by 2 external driver-evidence source(s).
61,oncokb_role_unique_high_or_moderate_impact_genes_log_count__tumor_suppressor,OncoKB role aggregate,0.02493705663698256,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
62,vep_polyphen_fraction__unknown,Predicted functional damage,0.024903565894672738,Composition of predicted protein-damaging versus tolerated variants.
63,vep_polyphen_count__benign,Predicted functional damage,0.02429617272655878,Composition of predicted protein-damaging versus tolerated variants.
64,driver_evidence_unique_high_or_moderate_genes_log_count__source_count_4,External driver-evidence tier,0.0242006988928008,Aggregate burden among genes supported by 4 external driver-evidence source(s).
65,driver_evidence_high_or_moderate_impact_log_count__source_count_4,External driver-evidence tier,0.023861544191203846,Aggregate burden among genes supported by 4 external driver-evidence source(s).
66,vep_sift_fraction__tolerated_low_confidence,Predicted functional damage,0.023739066550093866,Composition of predicted protein-damaging versus tolerated variants.
67,driver_gene_functional_event_log_count__VHL,"Exact cancer gene, functional event",0.022736446863212904,How many protein-affecting or high/moderate-impact mutations hit VHL.
68,vep_consequence_fraction__missense_variant,VEP consequence composition,0.02247387473202889,Composition of mutation consequence types assigned by VEP.
69,vep_consequence_fraction__upstream_gene_variant,VEP consequence composition,0.021528745045817685,Composition of mutation consequence types assigned by VEP.
70,vep_impact_count__moderate,VEP impact composition,0.021332084389067175,"Composition of VEP impact levels such as high, moderate, low, or modifier."
71,oncokb_role_vep_high_or_moderate_impact_log_count__tumor_suppressor,OncoKB role aggregate,0.020620098519506427,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
72,vep_impact_fraction__moderate,VEP impact composition,0.0205167979082795,"Composition of VEP impact levels such as high, moderate, low, or modifier."
73,vep_sift_count__deleterious,Predicted functional damage,0.019181130651799095,Composition of predicted protein-damaging versus tolerated variants.
74,vep_sift_count__tolerated,Predicted functional damage,0.018115103506504738,Composition of predicted protein-damaging versus tolerated variants.
75,vep_biotype_count__other,Transcript annotation composition,0.017858805795295665,Transcript-level annotation composition from VEP.
76,vep_consequence_fraction__non_coding_transcript_exon_variant,VEP consequence composition,0.01779409526865038,Composition of mutation consequence types assigned by VEP.
77,driver_gene_role_matched_event_log_count__KRAS,"Exact cancer gene, role-matched event",0.017496773628243544,How many mutations affect KRAS in a way consistent with that gene's curated cancer role.
78,oncokb_role_vep_high_impact_log_count__tumor_suppressor,OncoKB role aggregate,0.017456479462093284,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
79,driver_gene_role_matched_event_log_count__EGFR,"Exact cancer gene, role-matched event",0.017447628736431398,How many mutations affect EGFR in a way consistent with that gene's curated cancer role.
80,driver_gene_role_matched_event_log_count__ARID1A,"Exact cancer gene, role-matched event",0.017088781500403,How many mutations affect ARID1A in a way consistent with that gene's curated cancer role.
81,driver_gene_functional_event_log_count__NRAS,"Exact cancer gene, functional event",0.015674359426368027,How many protein-affecting or high/moderate-impact mutations hit NRAS.
82,vep_impact_count__high,VEP impact composition,0.015089703540721757,"Composition of VEP impact levels such as high, moderate, low, or modifier."
83,driver_gene_functional_event_log_count__IDH1,"Exact cancer gene, functional event",0.014897580955028389,How many protein-affecting or high/moderate-impact mutations hit IDH1.
84,vep_consequence_count__missense_variant,VEP consequence composition,0.014583348536931794,Composition of mutation consequence types assigned by VEP.
85,vep_polyphen_count__possibly_damaging,Predicted functional damage,0.014357162755207355,Composition of predicted protein-damaging versus tolerated variants.
86,oncokb_role_unique_high_or_moderate_impact_genes_log_count__oncogene,OncoKB role aggregate,0.014275626899623603,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
87,vep_sift_count__tolerated_low_confidence,Predicted functional damage,0.014175814509022985,Composition of predicted protein-damaging versus tolerated variants.
88,driver_gene_functional_event_log_count__PIK3R1,"Exact cancer gene, functional event",0.013751001187865312,How many protein-affecting or high/moderate-impact mutations hit PIK3R1.
89,oncokb_role_max_vaf_high_or_moderate_impact__oncogene_and_tumor_suppressor,OncoKB role aggregate,0.013581599163561804,Aggregate burden in OncoKB-curated oncogene/tumor-suppressor role groups.
90,vep_canonical_fraction__yes,Transcript annotation composition,0.013289205779674603,Transcript-level annotation composition from VEP.
91,driver_gene_functional_event_log_count__CTNNB1,"Exact cancer gene, functional event",0.012756284435865382,How many protein-affecting or high/moderate-impact mutations hit CTNNB1.
92,vep_consequence_count__splice_acceptor_variant,VEP consequence composition,0.012556310654588287,Composition of mutation consequence types assigned by VEP.
93,driver_gene_functional_event_log_count__KRAS,"Exact cancer gene, functional event",0.011636852299227939,How many protein-affecting or high/moderate-impact mutations hit KRAS.
94,driver_gene_functional_event_log_count__LRP1B,"Exact cancer gene, functional event",0.011500035985003706,How many protein-affecting or high/moderate-impact mutations hit LRP1B.
95,driver_evidence_high_impact_log_count__source_count_4,External driver-evidence tier,0.011472670863063854,Aggregate burden among genes supported by 4 external driver-evidence source(s).
96,driver_evidence_high_or_moderate_impact_log_count__source_count_1,External driver-evidence tier,0.011210992408040056,Aggregate burden among genes supported by 1 external driver-evidence source(s).
97,vep_consequence_fraction__start_lost,VEP consequence composition,0.010897029430953125,Composition of mutation consequence types assigned by VEP.
98,vep_biotype_fraction__processed_transcript,Transcript annotation composition,0.01049803970625385,Transcript-level annotation composition from VEP.
99,vep_consequence_count__splice_donor_variant,VEP consequence composition,0.01026215513025022,Composition of mutation consequence types assigned by VEP.
100,driver_gene_role_matched_event_log_count__KMT2D,"Exact cancer gene, role-matched event",0.01010849439896856,How many mutations affect KMT2D in a way consistent with that gene's curated cancer role.
